"State","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude"
"New York","2020-03-12T22:06:31.672Z",325,0,0,30.9756,112.2707
"Virginia","2020-03-12T20:07:30.536Z",17,0,0,37.7693,-78.17
