"State","Last Update","Confirmed","Deaths","Recovered","Latitude","Longitude"
"New York","2020-03-11T23:07:32.405Z",216,0,0,30.9756,112.2707
"Virginia","2020-03-11T23:07:32.738Z",9,0,0,37.7693,-78.17
